epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,4692.5,3.21844,2.18035,1.92099,0.10409,0.34656,0.10364,0.03106,3.0031,2.34695,2.14829,0.000346625,0.000346625,0.000346625
75,4758.26,3.14472,2.20311,1.98425,0.12436,0.37986,0.12852,0.04293,2.84162,2.43482,2.03705,0.00033425,0.00033425,0.00033425
76,4824.59,3.15779,2.14491,1.89716,0.12302,0.28628,0.12461,0.03888,2.8935,2.58114,1.98223,0.000321875,0.000321875,0.000321875
77,4891.41,3.18236,2.15845,1.95352,0.15638,0.36279,0.16278,0.05723,2.91334,2.52605,2.01948,0.0003095,0.0003095,0.0003095
78,4956.71,3.13495,2.11665,1.89031,0.1429,0.38327,0.17971,0.06976,2.91312,2.51222,2.01102,0.000297125,0.000297125,0.000297125
79,5025.84,3.20266,2.11933,1.83635,0.13016,0.34241,0.15056,0.05589,2.9468,2.52851,1.99172,0.00028475,0.00028475,0.00028475
80,5094.18,3.20423,2.05428,1.79955,0.12886,0.29248,0.13916,0.0522,2.98967,2.45634,2.00378,0.000272375,0.000272375,0.000272375
81,5158.34,3.11472,2.17704,1.92485,0.11622,0.35307,0.13625,0.0499,2.89462,2.3943,1.97848,0.00026,0.00026,0.00026
82,5219.58,3.12591,2.09052,1.84899,0.15062,0.40917,0.1849,0.06632,2.81467,2.40141,1.96024,0.000247625,0.000247625,0.000247625
83,5281.92,3.10533,2.1009,1.85799,0.18245,0.33448,0.19916,0.06988,2.81293,2.48742,1.94058,0.00023525,0.00023525,0.00023525
84,5344.85,3.05143,2.07464,1.84579,0.19272,0.36869,0.20473,0.07222,2.79107,2.42758,1.94349,0.000222875,0.000222875,0.000222875
85,5407.16,3.01312,2.02767,1.84934,0.23331,0.42557,0.22207,0.08031,2.73151,2.32473,1.93965,0.0002105,0.0002105,0.0002105
86,5469.15,3.14614,2.10493,1.90774,0.33554,0.35845,0.1887,0.07452,2.78388,2.27339,1.99153,0.000198125,0.000198125,0.000198125
87,5529.94,3.09453,1.99761,1.86317,0.24278,0.38421,0.19602,0.07527,2.75007,2.29561,1.96837,0.00018575,0.00018575,0.00018575
88,5595.19,3.0029,2.02726,1.86303,0.1953,0.41226,0.21282,0.07718,2.77229,2.38804,1.95891,0.000173375,0.000173375,0.000173375
89,5656.84,3.07656,2.06704,1.86645,0.183,0.38797,0.20283,0.07305,2.82211,2.45791,1.97175,0.000161,0.000161,0.000161
90,5719.52,3.06196,2.03338,1.85832,0.18754,0.38111,0.19996,0.07352,2.82485,2.45642,1.97377,0.000148625,0.000148625,0.000148625
91,5780.48,3.01014,2.12479,1.95037,0.19209,0.38319,0.20741,0.07802,2.82399,2.44029,1.96495,0.00013625,0.00013625,0.00013625
92,5842.64,3.01081,2.14497,1.93645,0.21464,0.36812,0.21949,0.08106,2.8239,2.40686,1.95962,0.000123875,0.000123875,0.000123875
93,5906.3,2.93194,2.07652,1.91244,0.22143,0.36294,0.22596,0.08091,2.81726,2.3985,1.94846,0.0001115,0.0001115,0.0001115
94,5967.76,2.90401,2.05288,1.90893,0.21411,0.36279,0.22554,0.07852,2.82543,2.38235,1.95415,9.9125e-05,9.9125e-05,9.9125e-05
95,6028.98,2.94083,2.07144,1.9381,0.20263,0.37203,0.21812,0.07805,2.8019,2.40442,1.94494,8.675e-05,8.675e-05,8.675e-05
96,6089.99,2.9655,2.09722,1.97063,0.18878,0.36822,0.19997,0.07187,2.82533,2.43737,1.94577,7.4375e-05,7.4375e-05,7.4375e-05
97,6150.84,2.93858,2.07785,1.97245,0.18205,0.36315,0.19133,0.06666,2.84996,2.42631,1.95564,6.2e-05,6.2e-05,6.2e-05
98,6211.62,2.95273,2.11585,1.92535,0.19142,0.36588,0.19131,0.06637,2.84801,2.39651,1.9575,4.9625e-05,4.9625e-05,4.9625e-05
99,6273.42,2.96019,2.09198,1.9339,0.19395,0.35441,0.19175,0.06653,2.84367,2.38172,1.95539,3.725e-05,3.725e-05,3.725e-05
100,6333.86,2.93988,2.02701,1.89453,0.21648,0.33327,0.20068,0.06975,2.82908,2.37513,1.9525,2.4875e-05,2.4875e-05,2.4875e-05
