epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
9,46.5054,2.78063,2.23628,1.49076,0.10275,0.20388,0.13926,0.06186,2.64719,3.2299,1.89644,0.00052822,0.00052822,0.00052822
10,47.938,2.59708,2.19805,1.48091,0.18061,0.15322,0.12764,0.05138,2.40522,3.0217,1.67906,0.000585213,0.000585213,0.000585213
11,49.4087,2.81107,2.12863,1.5255,0.2032,0.2099,0.13276,0.04621,2.40164,2.96175,1.6718,0.000641587,0.000641587,0.000641587
12,50.9483,2.70728,2.00728,1.49464,0.26546,0.29137,0.14642,0.05312,2.47085,2.78178,1.69805,0.000697343,0.000697343,0.000697343
13,52.4169,2.67871,1.91469,1.49722,0.30517,0.20263,0.16407,0.06434,2.40992,2.71628,1.62105,0.00075248,0.00075248,0.00075248
14,60.4952,2.57881,1.82525,1.47155,0.18524,0.25986,0.13553,0.0468,2.53845,2.72067,1.69371,0.000806998,0.000806998,0.000806998
15,62.4851,2.60561,1.82244,1.49845,0.13764,0.31292,0.10497,0.03748,2.52968,2.84357,1.67669,0.000860897,0.000860897,0.000860897
16,63.9791,2.53884,1.82129,1.49744,0.10505,0.34614,0.09925,0.03947,2.6066,2.83005,1.76508,0.000914178,0.000914178,0.000914178
17,65.4783,2.55584,1.76507,1.45115,0.19229,0.2515,0.12639,0.05517,2.4572,2.74384,1.69938,0.00096684,0.00096684,0.00096684
18,66.9412,2.51062,1.63669,1.47119,0.47984,0.21958,0.20641,0.09608,2.36582,2.7203,1.57341,0.00101888,0.00101888,0.00101888
19,68.2924,2.49805,1.71419,1.55096,0.19428,0.24234,0.16496,0.07278,2.48885,2.80321,1.71254,0.00107031,0.00107031,0.00107031
20,69.7706,2.5599,1.72589,1.51077,0.19078,0.22817,0.11405,0.05205,2.48377,2.82082,1.60987,0.00112111,0.00112111,0.00112111
21,71.2454,2.60007,1.67401,1.48256,0.27688,0.35939,0.24726,0.10837,2.33027,2.60095,1.5831,0.00112625,0.00112625,0.00112625
22,72.9528,2.54213,1.62497,1.47208,0.38827,0.29897,0.31312,0.15378,2.35528,2.46794,1.52138,0.00112006,0.00112006,0.00112006
23,74.4976,2.40387,1.55253,1.43373,0.48372,0.34324,0.38792,0.1609,2.34212,2.21509,1.47517,0.00111388,0.00111388,0.00111388
24,76.0578,2.42628,1.53204,1.43839,0.28515,0.33307,0.20586,0.07259,2.57518,2.35023,1.62107,0.00110769,0.00110769,0.00110769
25,77.5217,2.41185,1.54181,1.42655,0.09379,0.31896,0.09133,0.03741,2.65277,2.72806,1.67222,0.0011015,0.0011015,0.0011015
26,83.3772,2.43964,1.5494,1.4525,0.20444,0.31701,0.17799,0.07692,2.48056,2.78776,1.5184,0.00109531,0.00109531,0.00109531
27,85.3074,2.41578,1.5339,1.41026,0.32297,0.28194,0.25739,0.11738,2.3242,2.7284,1.4685,0.00108913,0.00108913,0.00108913
28,91.8847,2.3578,1.47141,1.40923,0.21682,0.33047,0.13196,0.05081,2.39708,2.69916,1.59661,0.00108294,0.00108294,0.00108294
29,95.5105,2.43651,1.52729,1.45185,0.31881,0.38211,0.23054,0.0954,2.36887,2.46827,1.5679,0.00107675,0.00107675,0.00107675
30,99.6096,2.30139,1.42204,1.38156,0.42105,0.50557,0.46411,0.20766,2.27794,2.04049,1.51664,0.00107056,0.00107056,0.00107056
31,111.064,2.31071,1.4227,1.38914,0.34769,0.38917,0.36287,0.148,2.26466,2.05395,1.52506,0.00106437,0.00106437,0.00106437
32,116.348,2.37197,1.39681,1.36223,0.34155,0.42325,0.30873,0.12564,2.29486,2.14545,1.55151,0.00105819,0.00105819,0.00105819
33,117.887,2.28304,1.3671,1.37829,0.39954,0.39205,0.40266,0.17582,2.14049,1.99053,1.45875,0.001052,0.001052,0.001052
34,119.445,2.33806,1.43483,1.38683,0.46005,0.3954,0.39316,0.15085,2.37223,2.02663,1.52964,0.00104581,0.00104581,0.00104581
35,120.852,2.27831,1.45157,1.38968,0.33657,0.39364,0.29322,0.12223,2.25935,2.28512,1.5332,0.00103962,0.00103962,0.00103962
36,123.244,2.30227,1.4365,1.41982,0.39421,0.45602,0.32412,0.14075,2.33472,2.36306,1.59769,0.00103344,0.00103344,0.00103344
37,124.715,2.23324,1.37421,1.38931,0.40725,0.48274,0.38263,0.16113,2.40589,2.36405,1.64235,0.00102725,0.00102725,0.00102725
38,126.173,2.18647,1.38497,1.37778,0.33468,0.31937,0.28554,0.12179,2.29272,2.14747,1.54425,0.00102106,0.00102106,0.00102106
39,131.27,2.28163,1.38591,1.36154,0.32394,0.4798,0.34567,0.13891,2.31949,1.89208,1.56181,0.00101488,0.00101488,0.00101488
40,136.882,2.20168,1.35225,1.35364,0.46244,0.37126,0.34425,0.13138,2.38434,1.96957,1.69297,0.00100869,0.00100869,0.00100869
41,138.492,2.25047,1.35828,1.35866,0.41472,0.33264,0.3048,0.11601,2.39982,2.17726,1.68136,0.0010025,0.0010025,0.0010025
42,156.837,2.21977,1.33647,1.33402,0.36935,0.34197,0.31232,0.12184,2.36399,2.25682,1.62125,0.000996313,0.000996313,0.000996313
43,173.24,2.2458,1.31082,1.32188,0.42782,0.37808,0.35334,0.13866,2.34753,2.06172,1.57415,0.000990125,0.000990125,0.000990125
44,185.094,2.09872,1.25418,1.32319,0.33651,0.33491,0.27701,0.11463,2.40463,2.11218,1.61823,0.000983938,0.000983938,0.000983938
45,193.086,2.15753,1.25422,1.33361,0.43063,0.26812,0.26183,0.10413,2.37769,2.15363,1.56539,0.00097775,0.00097775,0.00097775
46,195.077,2.17392,1.27769,1.31164,0.38782,0.30085,0.29144,0.12232,2.28796,2.10656,1.50867,0.000971562,0.000971562,0.000971562
47,196.541,2.16271,1.29142,1.356,0.32469,0.35932,0.33003,0.13603,2.29342,2.14404,1.53668,0.000965375,0.000965375,0.000965375
48,198.013,2.10867,1.28277,1.32443,0.35157,0.42291,0.37409,0.14707,2.36706,2.11022,1.59075,0.000959187,0.000959187,0.000959187
49,199.488,2.13264,1.27366,1.33279,0.3738,0.51966,0.34911,0.12621,2.39795,2.17507,1.65713,0.000953,0.000953,0.000953
50,200.967,2.13569,1.26134,1.3093,0.32393,0.36978,0.29394,0.10492,2.30486,2.24554,1.59127,0.000946812,0.000946812,0.000946812
51,205.077,2.17371,1.29978,1.34277,0.35342,0.33997,0.32857,0.12936,2.23484,2.1241,1.54457,0.000940625,0.000940625,0.000940625
52,211.246,2.11004,1.22121,1.29271,0.36137,0.37143,0.34587,0.1338,2.2936,2.04929,1.55904,0.000934438,0.000934438,0.000934438
53,212.757,2.1692,1.23511,1.3176,0.45492,0.47681,0.41282,0.17638,2.29853,2.09727,1.57903,0.00092825,0.00092825,0.00092825
54,214.285,2.10593,1.19137,1.29384,0.47478,0.47793,0.44467,0.18212,2.43146,2.30067,1.62488,0.000922063,0.000922063,0.000922063
55,215.752,2.1228,1.23061,1.32233,0.58916,0.46527,0.45736,0.19542,2.19452,2.05392,1.48931,0.000915875,0.000915875,0.000915875
56,224.407,2.0904,1.18098,1.30852,0.44938,0.44605,0.33331,0.13148,2.22442,2.1862,1.50585,0.000909688,0.000909688,0.000909688
57,226.004,2.16547,1.19913,1.28829,0.62149,0.37433,0.35782,0.14386,2.38258,2.28198,1.59245,0.0009035,0.0009035,0.0009035
58,227.987,2.08096,1.22407,1.313,0.54419,0.55127,0.49295,0.21948,2.26656,1.93578,1.5906,0.000897313,0.000897313,0.000897313
59,233.026,2.11855,1.20871,1.32402,0.57509,0.55624,0.48674,0.21658,2.29243,1.71357,1.58489,0.000891125,0.000891125,0.000891125
60,234.557,2.17407,1.22602,1.31763,0.39608,0.52259,0.42949,0.18444,2.26181,1.8468,1.57577,0.000884938,0.000884938,0.000884938
61,236.006,2.01743,1.1549,1.27357,0.51192,0.52585,0.45802,0.1998,2.24295,1.77983,1.59525,0.00087875,0.00087875,0.00087875
62,242.779,2.13597,1.18071,1.28073,0.56558,0.59079,0.53737,0.24353,2.1851,1.75117,1.54686,0.000872563,0.000872563,0.000872563
63,244.54,2.05287,1.14617,1.26404,0.55858,0.56502,0.52511,0.22718,2.21046,1.75191,1.54164,0.000866375,0.000866375,0.000866375
64,246.068,2.11957,1.18741,1.29966,0.48188,0.51307,0.49421,0.20299,2.28155,1.76815,1.58422,0.000860188,0.000860188,0.000860188
65,250.432,2.02389,1.15164,1.27368,0.39549,0.40318,0.37891,0.15515,2.2763,1.90483,1.54356,0.000854,0.000854,0.000854
66,251.945,2.05751,1.15036,1.30099,0.38255,0.37842,0.35304,0.14261,2.26097,1.97177,1.51412,0.000847813,0.000847813,0.000847813
67,253.413,2.00005,1.13736,1.25417,0.44303,0.40471,0.4095,0.1733,2.25472,1.88531,1.51721,0.000841625,0.000841625,0.000841625
